transaction_id,card_id,timestamp,merchant_category,card_present,is_fraud,device_fingerprint,country_code,amount_minor_units
txn_0000554,card_00539,2026-01-01T14:27:35Z,entertainment,False,False,dev_004342,GB,8247
txn_0000555,card_00401,2026-01-08T21:59:21Z,fuel,False,False,dev_000990,SG,8831
txn_0000556,card_00359,2026-01-05T11:49:11Z,utilities,False,False,dev_003288,SG,12083
txn_0000557,card_00478,2026-01-08T01:47:27Z,utilities,True,False,dev_001063,IN,6236
txn_0000558,card_00277,2026-01-17T07:06:39Z,online_retail,False,False,dev_004031,US,977
txn_0000559,card_00757,2026-01-06T15:29:23Z,travel,False,False,dev_000111,US,22985
txn_0000560,card_00505,2026-01-06T22:19:05Z,atm_withdrawal,True,False,dev_003859,AE,6247
txn_0000561,card_00761,2026-01-14T05:25:56Z,electronics,True,False,dev_002274,SG,24124
txn_0000562,card_00545,2026-01-01T00:00:20Z,electronics,True,False,dev_003101,SG,4876
txn_0000563,card_00333,2026-01-09T22:49:09Z,utilities,True,False,dev_001822,SG,2090
txn_0000564,card_00696,2026-01-14T08:40:53Z,electronics,True,False,dev_000975,IN,1780
txn_0000565,card_00235,2026-01-08T02:44:32Z,entertainment,True,False,dev_000296,AE,12745
txn_0000566,card_00244,2026-01-20T19:34:49Z,utilities,False,True,dev_001748,IN,169476
txn_0000567,card_00487,2026-01-30T00:22:21Z,pharmacy,False,False,dev_000060,DE,7125
txn_0000568,card_00465,2026-01-16T19:23:03Z,restaurant,False,False,dev_001932,AE,10508
txn_0000569,card_00333,2026-01-06T18:52:58Z,pharmacy,False,False,dev_003897,DE,5397
txn_0000570,card_00590,2026-01-03T12:53:36Z,pharmacy,False,False,dev_004049,US,11262
txn_0000571,card_00195,2026-01-05T01:07:26Z,pharmacy,True,False,dev_002239,SG,3513
txn_0000572,card_00547,2026-01-19T13:08:08Z,electronics,False,False,dev_002077,SG,5921
txn_0000573,card_00422,2026-01-26T15:09:56Z,atm_withdrawal,True,False,dev_003409,IN,6628
txn_0000574,card_00871,2026-01-12T14:18:13Z,travel,False,False,dev_000478,DE,20272
txn_0000575,card_00490,2026-01-22T05:24:32Z,fuel,False,False,dev_004927,IN,9594
txn_0000576,card_00449,2026-01-25T20:22:49Z,pharmacy,True,False,dev_002276,SG,14869
txn_0000577,card_00573,2026-01-07T09:44:42Z,online_retail,True,False,dev_001681,GB,59109
txn_0000578,card_00292,2026-01-13T08:56:51Z,utilities,True,False,dev_001982,GB,2098
txn_0000579,card_00875,2026-01-20T00:19:23Z,restaurant,True,False,dev_003630,AE,1876
txn_0000580,card_00740,2026-01-23T00:54:00Z,utilities,False,False,dev_002263,AE,1562
txn_0000581,card_00301,2026-01-21T23:15:16Z,fuel,False,False,dev_003569,US,408
txn_0000582,card_00588,2026-01-14T14:47:44Z,online_retail,True,False,dev_002067,GB,7142
txn_0000583,card_00350,2026-01-16T22:17:18Z,utilities,True,False,dev_003684,IN,6527
txn_0000584,card_00256,2026-01-14T20:37:51Z,grocery,True,False,dev_004316,AE,73600
txn_0000585,card_00544,2026-01-08T11:41:35Z,atm_withdrawal,True,False,dev_003101,IN,1518
txn_0000586,card_00715,2026-01-13T21:14:55Z,atm_withdrawal,False,False,dev_002587,GB,4089
txn_0000587,card_00580,2026-01-21T03:49:32Z,restaurant,True,False,dev_002110,AE,18447
txn_0000588,card_00123,2026-01-21T13:11:53Z,utilities,True,False,dev_001975,US,5408
txn_0000589,card_00667,2026-01-17T01:16:49Z,utilities,False,False,dev_000172,US,15017
txn_0000590,card_00571,2026-01-19T14:06:15Z,utilities,True,False,dev_001731,US,9484
txn_0000591,card_00326,2026-01-04T07:57:38Z,electronics,True,False,dev_000052,US,2958
txn_0000592,card_00126,2026-01-04T03:18:46Z,online_retail,True,False,dev_003534,US,574
txn_0000593,card_00239,2026-01-18T10:54:58Z,grocery,False,False,dev_003369,GB,5458
txn_0000594,card_00824,2026-01-16T01:52:25Z,restaurant,True,True,dev_000543,AE,21138
txn_0000595,card_00164,2026-01-16T11:07:53Z,pharmacy,True,False,dev_003867,US,4101
txn_0000596,card_00209,2026-01-04T05:31:35Z,grocery,False,False,dev_001571,DE,3115
txn_0000597,card_00675,2026-01-24T15:56:25Z,entertainment,False,False,dev_002551,IN,13268
txn_0000598,card_00349,2026-01-04T01:15:01Z,electronics,True,False,dev_001292,AE,58063
txn_0000599,card_00504,2026-01-16T21:55:36Z,travel,True,False,dev_001168,GB,6481
txn_0000600,card_00796,2026-01-11T09:38:07Z,utilities,True,False,dev_002127,AE,2278
txn_0000601,card_00271,2026-01-29T00:42:20Z,atm_withdrawal,True,False,dev_001784,IN,6527
txn_0000602,card_00824,2026-01-27T19:36:00Z,atm_withdrawal,True,False,dev_002064,SG,57804
txn_0000603,card_00277,2026-01-27T21:59:44Z,pharmacy,False,False,dev_001204,SG,5175
txn_0000604,card_00484,2026-01-21T02:15:59Z,fuel,True,False,dev_000312,US,3226
txn_0000605,card_00266,2026-01-14T17:05:48Z,grocery,False,False,dev_000359,US,12258
txn_0000606,card_00656,2026-01-24T23:27:42Z,atm_withdrawal,True,False,dev_000412,DE,11564
txn_0000607,card_00192,2026-01-20T04:17:44Z,online_retail,False,False,dev_002231,IN,4617
txn_0000608,card_00139,2026-01-18T07:05:57Z,pharmacy,False,True,dev_001109,US,247039
txn_0000609,card_00634,2026-01-19T21:01:08Z,fuel,True,False,dev_000730,IN,8171
txn_0000610,card_00882,2026-01-23T14:30:09Z,electronics,True,False,dev_000537,IN,12630
txn_0000611,card_00468,2026-01-30T23:31:18Z,utilities,True,False,dev_003096,GB,3564
txn_0000612,card_00868,2026-01-01T15:50:33Z,atm_withdrawal,False,False,dev_003230,DE,7836
txn_0000613,card_00897,2026-01-01T19:47:31Z,restaurant,False,False,dev_004636,IN,42510
txn_0000614,card_00385,2026-01-30T05:17:57Z,utilities,False,False,dev_001041,AE,5011
txn_0000615,card_00397,2026-01-05T13:08:00Z,electronics,False,False,dev_003913,DE,853
txn_0000616,card_00616,2026-01-27T08:03:25Z,pharmacy,True,False,dev_003159,DE,38703
txn_0000617,card_00154,2026-01-21T16:19:41Z,electronics,True,False,dev_003195,US,6620
txn_0000618,card_00229,2026-01-30T13:06:44Z,restaurant,False,False,dev_003430,DE,66719
txn_0000619,card_00736,2026-01-29T22:35:54Z,pharmacy,True,False,dev_004728,SG,23875
txn_0000620,card_00806,2026-01-15T04:58:35Z,fuel,False,False,dev_003627,SG,565
txn_0000621,card_00071,2026-01-14T10:55:21Z,grocery,True,False,dev_003902,GB,3102
txn_0000622,card_00767,2026-01-28T11:15:05Z,restaurant,True,False,dev_001193,GB,6862
txn_0000623,card_00381,2026-01-20T10:37:33Z,restaurant,True,False,dev_002063,AE,9148
txn_0000624,card_00420,2026-01-13T02:31:18Z,entertainment,False,False,dev_003979,DE,1747
